DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
40823915,Amen Thompson,PG/G/UTIL,HOU,ORL,Confirmed,8000,28.5,38.73,28.5,38.73,4.84125,10.12,10.442245252835145,0,100,115.3213,225.21859999999998,38.7291,32.75,38.625,44.875,48.25,54,60.75,39.4721,33.05,39.45,46.125,49.7,55.705,63.2505,39.4721,33.05,39.45,46.125,49.7,55.705,63.2505,39.6763,33.45,39.65,46.05,49.55,55.4,62.55,9.07887,9.70942,9.70942,9.37368,18.8556,34.1053,6.75741,0.67125,6.20992,1.35375,4.85616,5.33275,1.84142,0.679667,2.23083
40823965,Shaedon Sharpe,SG/G/UTIL,POR,DAL,Confirmed,6500,52,38.31,52,38.31,5.893846153846154,40.77,32.2257734946262,0,100,118.9152,234.377,38.3145,31.2188,37.375,44.125,47.625,54,61.5,36.9191,29.8,36.1,42.65,46.15,52.6,59.9,36.9191,29.8,36.1,42.65,46.15,52.6,59.9,37.5041,30.5,36.65,43.05,46.45,52.75,59.95,9.56705,9.51519,9.51519,9.27419,23.0804,31.2588,5.62709,2.97125,4.87721,0.996875,3.88034,3.56888,1.11075,0.340625,2.26312
40823954,Onyeka Okongwu,C/UTIL,ATL,PHX,Confirmed,6900,48,37.98,48,37.98,5.504347826086956,21.13,18.35717372348581,0,100,112.8215,226.703,37.9804,32,38.375,44.875,48.375,54.8812,62.375,38.3966,32.1,38.75,45.65,49.5,56.2,64.001,38.3966,32.1,38.75,45.65,49.5,56.2,64.001,38.6641,32.5,39.025,45.75,49.45,56.05,63.6005,9.60483,10.0952,10.0952,9.89989,20.0704,31.6415,6.70284,0.98925,9.46075,1.87875,7.582,1.748,0.980083,1.17875,1.44116
40823925,Trey Murphy III,SG/G/UTIL,NOP,GSW,Confirmed,7700,37.5,37.93,39.5,37.93,4.925974025974026,13.74,13.32973736079244,0,100,110.1812,228.6794,37.9282,30.875,38.125,45.5,49.625,56.75,65.1263,36.1658,29.3875,36.35,43.55,47.45,54.3,61.9515,36.1658,29.3875,36.35,43.55,47.45,54.3,61.9515,36.5815,29.95,36.75,43.9,47.75,54.3525,62.2015,10.7872,10.464,10.464,10.2684,22.1143,35.2892,3.24333,4.22742,5.14817,1.42075,3.72742,3.78475,0.882,0.582417,1.75175
40823910,Jimmy Butler,PF/F/UTIL,GSW,NOP,Confirmed,8300,41.75,37.77,41.75,37.77,4.550602409638555,4.67,5.573847680101408,0,100,118.4982,228.6794,37.7673,31.25,37,42.875,46,51.625,58.125,37.9416,31.25,37.1,43.1,46.55,52.4,58.8,37.9416,31.25,37.1,43.1,46.55,52.4,58.8,38.0709,31.55,37.35,43.1,46.55,52.1025,58.5,8.60958,8.96582,8.96582,8.72178,17.9746,31.9005,5.53675,0.81175,6.59075,1.277,5.31375,5.41467,1.19217,0.41275,1.52434
40823943,Desmond Bane,SG/G/UTIL,ORL,HOU,Confirmed,7300,40.5,36.9,40.5,36.9,5.0547945205479445,16.61,15.57923840370948,0,100,109.8973,225.21859999999998,36.9017,30.3438,37,43.9062,47.625,54.375,61.7513,35.5767,28.9,35.65,42.5,46.3,52.8025,60.65,35.5767,28.9,35.65,42.5,46.3,52.8025,60.65,36.2549,29.8,36.35,43,46.65,53.1,60.5,10.0932,10.0888,10.0888,9.82131,19.6875,33.8523,4.22225,2.75575,5.23767,1.3975,3.84016,5.19017,1.1595,0.389333,2.52191
40823934,Keyonte George,PG/G/UTIL,UTA,CHI,Confirmed,7400,52,36.72,53,36.72,4.962162162162162,12.15,12.086944765861789,0,100,118.8193,242.0745,36.7205,29.75,36.5,43,46.875,53.125,60.5025,34.9622,28.15,34.75,41.3,45.05,51.2,58.651,34.9622,28.15,34.75,41.3,45.05,51.2,58.651,35.9657,29.35,35.75,42.1,45.75,51.65,59.0515,9.78137,9.71404,9.71404,9.46593,19.8039,33.1683,3.68433,2.8475,3.61008,0.770417,2.83967,6.55292,0.895167,0.375333,2.90233
40823956,Jusuf Nurkic,C/UTIL,UTA,CHI,Confirmed,6800,37.5,36.46,36.5,36.46,5.361764705882353,21.48,18.674392764141896,0,100,118.8193,242.0745,36.4555,30.75,36.75,43.125,46.75,52.75,59.625,36.7368,30.5875,37.1,43.9,47.65,54.4025,61.8505,36.7368,30.5875,37.1,43.9,47.65,54.4025,61.8505,37.3351,31.4,37.7,44.25,48,54.4,61.6,9.10968,9.76463,9.76463,9.48476,12.7432,28.006,4.19092,0.605667,11.3013,2.31375,8.9875,4.12933,1.47342,1.07017,2.63925
40823951,PJ Washington,SF/F/UTIL,DAL,POR,Confirmed,7000,34.75,35.76,34.75,35.76,5.1085714285714285,13.93,13.418094288499544,0,100,115.4618,234.377,35.7567,28.125,34.25,40.5,43.75,50.125,57.375,35.2103,27.55,33.6,39.95,43.55,49.65,57.401,35.2103,27.55,33.6,39.95,43.55,49.65,57.401,35.6324,28.05,34.15,40.3125,43.7075,49.655,57.3005,9.16635,9.2808,9.2808,9.07942,16.4293,31.6116,3.89675,2.17554,8.27879,2.08687,6.19192,2.63104,0.961165,0.859917,1.83537
40823937,Cooper Flagg,SG/G/UTIL,DAL,POR,Confirmed,7300,45,34.93,45,34.93,4.784931506849315,9.67,9.858270196970253,0,100,115.4618,234.377,34.9272,28,34.375,40.75,44.375,49.7562,57.8775,35.0719,27.95,34.325,41.1,44.8,50.65,58.3535,35.0719,27.95,34.325,41.1,44.8,50.65,58.3535,35.1166,28.3,34.4,41,44.5075,50.05,58.002,9.22499,9.55989,9.55989,9.24953,16.8477,33.5244,4.49084,1.69675,6.52896,1.61987,4.90908,3.60029,1.47634,0.585416,1.60025
