entry_id,contest_id,contest_name,entry_fee,PG,PG,SG,SG,SF,SF,PF,PF,C,"","Instructions"
"3612560758","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-84678:Miles Bridges,123147-84678,PF/SF,Miles,Miles Bridges,Bridges,37.69230769230769,13,8300,CHA@TOR,CHA,TOR,,,,,,SF/PF
"3612560759","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-171779:Jalen Duren,123147-171779,C,Jalen,Jalen Duren,Duren,40.581817626953125,11,8200,IND@DET,DET,IND,P,Ankle,,,,C
"3612560760","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-110310:Zion Williamson,123147-110310,PF,Zion,Zion Williamson,Williamson,41.060000610351565,5,8100,OKC@NO,NO,OKC,Q,Hamstring,,,,PF
"3612560762","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-80817:Bam Adebayo,123147-80817,C/PF,Bam,Bam Adebayo,Adebayo,35.6875,8,8100,NY@MIA,MIA,NY,O,Toe,,,,PF/C
"3612560763","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-49111:Joel Embiid,123147-49111,C,Joel,Joel Embiid,Embiid,35.6000010172526,6,8000,LAC@PHI,PHI,LAC,O,Knee,,,,C
"3612560764","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-66108:Jamal Murray,123147-66108,PG/SG,Jamal,Jamal Murray,Murray,40.15454656427557,11,7900,CHI@DEN,DEN,CHI,,,,,,PG/SG
"3612560765","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-157847:Trey Murphy,123147-157847,SF/SG,Trey,Trey Murphy,Murphy,35.65384615384615,13,7700,OKC@NO,NO,OKC,,,,,,SG/SF
"3612560766","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-66048:Brandon Ingram,123147-66048,SF/PF,Brandon,Brandon Ingram,Ingram,35.50769277719351,13,7500,CHA@TOR,TOR,CHA,,,,,,SF/PF
"3612560767","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-84670:Mikal Bridges,123147-84670,SG/SF,Mikal,Mikal Bridges,Bridges,36.19166564941406,12,7400,NY@MIA,NY,MIA,,,,,,SG/SF
"3612560769","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-70827:Ivica Zubac,123147-70827,C,Ivica,Ivica Zubac,Zubac,34.85384662334736,13,7300,LAC@PHI,LAC,PHI,,,,,,C
"3612560770","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-171759:Chet Holmgren,123147-171759,C/PF,Chet,Chet Holmgren,Holmgren,35.73999938964844,10,7200,OKC@NO,OKC,NO,,,,,,PF/C
"3612560771","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-228113:Cooper Flagg,123147-228113,PG/SG/SF,Cooper,Cooper Flagg,Flagg,32.59285627092634,14,7200,DAL@MIN,DAL,MIN,,,,,,PG/SG/SF
"3612560772","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-171760:Jalen Williams,123147-171760,SF/PF,Jalen,Jalen Williams,Williams,39.97499946925951,92,7100,OKC@NO,OKC,NO,O,Wrist,,,,SF/PF
"3612560773","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-16293:Norman Powell,123147-16293,SF/SG,Norman,Norman Powell,Powell,36.620001220703124,10,7100,NY@MIA,MIA,NY,,,,,,SG/SF
"3612560775","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-188426:Ausar Thompson,123147-188426,SF/SG,Ausar,Ausar Thompson,Thompson,33.02000122070312,10,7000,IND@DET,DET,IND,Q,Ankle,,,,SG/SF
"3612560776","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-110312:Tyler Herro,123147-110312,SG/PG,Tyler,Tyler Herro,Herro,38.65301145990211,83,7000,NY@MIA,MIA,NY,O,Ankle,,,,PG/SG
"3612560777","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-203730:Kel'el Ware,123147-203730,C/PF,Kel'el,Kel'el Ware,Ware,29.115384615384617,13,7000,NY@MIA,MIA,NY,,,,,,PF/C
"3612560778","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-14514:Nikola Vucevic,123147-14514,C,Nikola,Nikola Vucevic,Vucevic,35.6000010172526,12,6900,CHI@DEN,CHI,DEN,,,,,,C
"3612560779","123147-277721651","$5K Mon NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",123147-171747:Andrew Nembhard,123147-171747,PG/SG,Andrew,Andrew Nembhard,Nembhard,29.4499994913737,6,6900,IND@DET,IND,DET,,,,,,PG/SG
